DATES,Timestamp,S&P 500,All World Index,High Yield,HFRXGL Index,Gold,Emerging Markets,Russell 2000,Oil,Frontier Markets,Biotech,Bitcoin,Ethereum
9/30/2015,1443571200,3570.17,175.2824,1581.23,1181.26,1115.09,32.78,1100.688,45.09,25.14,62.25,236.06,0.738644
10/1/2015,1443657600,3577.47,176.0156,1577.98,1181.98,1113.61,32.96,1097.552,44.74,25.07,62.43,237.55,0.690215
10/2/2015,1443744000,3629.04,178.0827,1572.49,1183.34,1138.6,33.84,1114.12,45.54,25.3,65.48,237.29,0.678574
10/3/2015,1443830400,3629.04,178.0827,1572.49,1183.34,1138.6,33.84,1114.12,45.54,25.3,65.48,238.73,0.687171
10/4/2015,1443916800,3629.04,178.0827,1572.49,1183.34,1138.6,33.84,1114.12,45.54,25.3,65.48,238.26,0.668379
10/5/2015,1444003200,3695.61,181.4988,1583.87,1188.44,1135.75,34.57,1141.637,46.26,25.38,66,240.38,0.628643
10/6/2015,1444089600,3682.33,182.0096,1591.71,1188.04,1147.24,34.51,1133.691,48.53,25.33,63.22,246.06,0.650645
10/7/2015,1444176000,3713.36,183.7573,1603.94,1189.51,1145.54,35.43,1152.604,47.81,25.59,64.3,242.97,0.609388
10/8/2015,1444262400,3746.12,184.7266,1606.34,1192.49,1139.01,35.81,1163.244,49.43,25.88,63.65,242.3,0.621716
10/9/2015,1444348800,3748.96,185.9854,1615.24,1192.31,1156.53,35.94,1165.356,49.63,25.76,64.76,243.93,0.650628
10/10/2015,1444435200,3748.96,185.9854,1615.24,1192.31,1156.53,35.94,1165.356,49.63,25.76,64.76,244.94,0.627857
10/11/2015,1444521600,3748.96,185.9854,1615.24,1192.31,1156.53,35.94,1165.356,49.63,25.76,64.76,247.05,0.634963
10/12/2015,1444608000,3753.73,186.1744,1615.24,1191.27,1163.85,35.67,1164.405,47.1,25.88,63.98,245.31,0.62603
10/13/2015,1444694400,3728.48,184.6162,1613.25,1189.04,1168.84,35.09,1147.841,46.66,25.58,61.16,249.51,0.607655
10/14/2015,1444780800,3711.11,183.709,1612.05,1188.39,1184.13,35.36,1136.972,46.64,25.42,61.82,251.99,0.522968
10/15/2015,1444867200,3766.43,186.3195,1611.8,1191.33,1183.1,36.22,1162.771,46.38,25.86,66.31,254.32,0.561878
10/16/2015,1444953600,3783.64,187.1137,1616.31,1191.99,1177.3,36.25,1162.309,47.26,25.91,66.05,262.87,0.536495
10/17/2015,1445040000,3783.64,187.1137,1616.31,1191.99,1177.3,36.25,1162.309,47.26,25.91,66.05,270.64,0.547178
10/18/2015,1445126400,3783.64,187.1137,1616.31,1191.99,1177.3,36.25,1162.309,47.26,25.91,66.05,261.64,0.517734
10/19/2015,1445212800,3784.72,186.7941,1618.15,1192.54,1170.79,35.88,1164.296,45.89,25.65,66.56,263.44,0.489014
10/20/2015,1445299200,3779.44,186.4968,1622.04,1190.3,1176.04,35.87,1163.27,45.55,25.66,64.31,269.46,0.434829
10/21/2015,1445385600,3757.91,185.9248,1622.92,1187.09,1167.18,35.35,1144.948,45.2,25.66,64.33,266.27,0.447329
10/22/2015,1445472000,3820.49,187.5766,1621.53,1188.16,1166.05,36.08,1154.524,45.38,25.9,64.19,274.02,0.567702
10/23/2015,1445558400,3862.65,189.5311,1626.11,1193.54,1164.45,36.29,1166.058,44.6,26.01,65.67,276.5,0.539657
10/24/2015,1445644800,3862.65,189.5311,1626.11,1193.54,1164.45,36.29,1166.058,44.6,26.01,65.67,281.65,0.56359
10/25/2015,1445731200,3862.65,189.5311,1626.11,1193.54,1164.45,36.29,1166.058,44.6,26.01,65.67,283.68,0.616039
10/26/2015,1445817600,3855.29,189.3494,1625.94,1193.83,1163.04,35.96,1159.501,43.98,26.48,65.89,285.3,0.731317
10/27/2015,1445904000,3845.45,188.3689,1623.41,1193.77,1166.88,35.55,1145.291,43.2,26.2,67.33,293.79,0.869641
10/28/2015,1445990400,3891.34,190.1177,1624.63,1197.55,1156.1,35.14,1178.716,45.94,26.62,69.06,304.62,1
10/29/2015,1446076800,3890.04,189.0815,1624.73,1198.98,1145.97,34.81,1165.625,46.06,26.86,67.31,313.86,1.21
10/30/2015,1446163200,3871.33,189.0389,1624.7,1198.54,1142.11,34.87,1161.863,46.59,26.74,66.63,328.02,1.04
