AnnReturn,AnnRisk,SharpeRatio,SortinoRatio,ReturnTraditional,ReturnSP500,RiskTraditional,RiskSP500,SharpeTraditional,SharpeSP500,SortinoTraditional,SortinoSP500,Date,TraditionalOnly,SP500Only,d1,d2,d3,d4,d5,d6
9.96,7.6,1,1.5,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.48314E+12,100,100,100,100,100,100,100,100
12.8,7.6,1.4,2,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.48323E+12,100,100,100,100.0535499,100.1070997,100.1606496,100.2141994,100.2677493
14.6,7.7,1.6,2.4,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.48332E+12,100,100,100,100.0633712,100.1267424,100.1901135,100.2534847,100.3168559
16.2,7.8,1.7,2.6,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.4834E+12,100.4993584,100.8512011,100.4993584,100.5668645,100.6343706,100.7018767,100.7693828,100.8368889
17.7,8.1,1.8,2.8,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.48349E+12,100.8574629,101.4511553,100.8574629,100.9896409,101.121819,101.2539971,101.3861752,101.5183533
19.3,8.5,1.9,3,9.9,13.8,7.6,12.8,1,0.9,1.5,1.3,1.48357E+12,101.0040736,101.3740283,101.0040736,101.0105536,101.0170337,101.0235138,101.0299939,101.036474
,,,,,,,,,,,,1.48366E+12,101.1267134,101.7620003,101.1267134,101.0525289,100.9783444,100.9041598,100.8299753,100.7557907
,,,,,,,,,,,,1.48375E+12,101.1267134,101.7620003,101.1267134,101.0525289,100.9783444,100.9041598,100.8299753,100.7557907
,,,,,,,,,,,,1.48383E+12,101.1267134,101.7620003,101.1267134,101.0727493,101.0187851,100.9648209,100.9108568,100.8568926
,,,,,,,,,,,,1.48392E+12,100.9975638,101.4013733,100.9975638,100.9263028,100.8550417,100.7837807,100.7125197,100.6412587
,,,,,,,,,,,,1.48401E+12,100.9920923,101.4018408,100.9920923,100.9337466,100.875401,100.8170553,100.7587096,100.7003639
,,,,,,,,,,,,1.48409E+12,101.1982296,101.6981952,101.1982296,101.010136,100.8220424,100.6339488,100.4458552,100.2577616
,,,,,,,,,,,,1.48418E+12,101.0848179,101.4824735,101.0848179,100.9393432,100.7938686,100.648394,100.5029194,100.3574448
,,,,,,,,,,,,1.48427E+12,101.1502351,101.6699153,101.1502351,101.0061109,100.8619866,100.7178623,100.573738,100.4296137
,,,,,,,,,,,,1.48435E+12,101.1502351,101.6699153,101.1502351,101.0061109,100.8619866,100.7178623,100.573738,100.4296137
,,,,,,,,,,,,1.48444E+12,101.1502351,101.6699153,101.1502351,100.9971824,100.8441296,100.6910769,100.5380241,100.3849713
,,,,,,,,,,,,1.48452E+12,101.1502351,101.6699153,101.1502351,101.0086318,100.8670285,100.7254252,100.5838219,100.4422186
,,,,,,,,,,,,1.48461E+12,101.0925647,101.3681854,101.0925647,101.0231166,100.9536685,100.8842205,100.8147724,100.7453243
,,,,,,,,,,,,1.4847E+12,101.0699642,101.5638074,101.0699642,100.9742324,100.8785006,100.7827688,100.6870371,100.5913053
,,,,,,,,,,,,1.48478E+12,100.7184511,101.1989735,100.7184511,100.6595081,100.600565,100.541622,100.482679,100.423736
,,,,,,,,,,,,1.48487E+12,100.9357812,101.5427727,100.9357812,100.8645137,100.7932462,100.7219787,100.6507113,100.5794438
